row	column	plate	well	UID	clone	name	marker
1	1	-	-	ECK1963	ECK1963-1-1	hchA	aph(KEIO:hchA)
1	2	-	-	ECK1963	ECK1963-1-2	hchA	aph(KEIO:hchA)
1	3	-	-	ECK0813	ECK0813-1-3	ybiW	aph(KEIO:ybiW)
1	4	-	-	ECK0813	ECK0813-1-4	ybiW	aph(KEIO:ybiW)
1	5	-	-	ECK3716	ECK3716-1-5	bglG	aph(KEIO:bglG)
1	6	-	-	ECK3716	ECK3716-1-6	bglG	aph(KEIO:bglG)
1	7	-	-	ECK1235	ECK1235-1-7	adhE	aph(KEIO:adhE)
1	8	-	-	ECK1235	ECK1235-1-8	adhE	aph(KEIO:adhE)
1	9	-	-	ECK3926	ECK3926-1-9	cytR	aph(KEIO:cytR)
1	10	-	-	ECK3926	ECK3926-1-10	cytR	aph(KEIO:cytR)
1	11	-	-	ECK1700	ECK1700-1-11	ppsA	aph(KEIO:ppsA)
1	12	-	-	ECK1700	ECK1700-1-12	ppsA	aph(KEIO:ppsA)
1	13	-	-	ECK1330	ECK1330-1-13	fnr	aph(KEIO:fnr)
1	14	-	-	ECK1330	ECK1330-1-14	fnr	aph(KEIO:fnr)
1	15	-	-	ECK2272	ECK2272-1-15	nuoL	aph(KEIO:nuoL)
1	16	-	-	ECK2272	ECK2272-1-16	nuoL	aph(KEIO:nuoL)
1	17	-	-	ECK0434	ECK0434-1-17	hupB	aph(KEIO:hupB)
1	18	-	-	ECK0434	ECK0434-1-18	hupB	aph(KEIO:hupB)
1	19	-	-	ECK2281	ECK2281-1-19	nuoB	aph(KEIO:nuoB)
1	20	-	-	ECK2281	ECK2281-1-20	nuoB	aph(KEIO:nuoB)
1	21	-	-	empty	empty-1-21	empty	aph(KEIO:empty)
1	22	-	-	empty	empty-1-22	empty	aph(KEIO:empty)
1	23	-	-	ECK3225	ECK3225-1-23	mdh	aph(KEIO:mdh)
1	24	-	-	ECK3225	ECK3225-1-24	mdh	aph(KEIO:mdh)
1	25	-	-	ECK0664	ECK0664-1-25	nagC	aph(KEIO:nagC)
1	26	-	-	ECK0664	ECK0664-1-26	nagC	aph(KEIO:nagC)
1	27	-	-	ECK3942	ECK3942-1-27	pflD	aph(KEIO:pflD)
1	28	-	-	ECK3942	ECK3942-1-28	pflD	aph(KEIO:pflD)
1	29	-	-	ECK3899	ECK3899-1-29	rhaR	aph(KEIO:rhaR)
1	30	-	-	ECK3899	ECK3899-1-30	rhaR	aph(KEIO:rhaR)
1	31	-	-	ECK4147	ECK4147-1-31	frdD	aph(KEIO:frdD)
1	32	-	-	ECK4147	ECK4147-1-32	frdD	aph(KEIO:frdD)
1	33	-	-	ECK1319	ECK1319-1-33	tyrR	aph(KEIO:tyrR)
1	34	-	-	ECK1319	ECK1319-1-34	tyrR	aph(KEIO:tyrR)
1	35	-	-	empty	empty-1-35	empty	aph(KEIO:empty)
1	36	-	-	empty	empty-1-36	empty	aph(KEIO:empty)
1	37	-	-	empty	empty-1-37	empty	aph(KEIO:empty)
1	38	-	-	empty	empty-1-38	empty	aph(KEIO:empty)
1	39	-	-	ECK1115	ECK1115-1-39	phoQ	aph(KEIO:phoQ)
1	40	-	-	ECK1115	ECK1115-1-40	phoQ	aph(KEIO:phoQ)
1	41	-	-	ECK0114	ECK0114-1-41	aceF	aph(KEIO:aceF)
1	42	-	-	ECK0114	ECK0114-1-42	aceF	aph(KEIO:aceF)
1	43	-	-	ECK1884	ECK1884-1-43	cheB	aph(KEIO:cheB)
1	44	-	-	ECK1884	ECK1884-1-44	cheB	aph(KEIO:cheB)
1	45	-	-	ECK0710	ECK0710-1-45	sdhC	aph(KEIO:sdhC)
1	46	-	-	ECK0710	ECK0710-1-46	sdhC	aph(KEIO:sdhC)
1	47	-	-	ECK2212	ECK2212-1-47	atoS	aph(KEIO:atoS)
1	48	-	-	ECK2212	ECK2212-1-48	atoS	aph(KEIO:atoS)
2	1	-	-	ECK1488	ECK1488-2-1	pqqL	aph(KEIO:pqqL)
2	2	-	-	ECK1488	ECK1488-2-2	pqqL	aph(KEIO:pqqL)
2	3	-	-	ECK2456	ECK2456-2-3	eutP	aph(KEIO:eutP)
2	4	-	-	ECK2456	ECK2456-2-4	eutP	aph(KEIO:eutP)
2	5	-	-	empty	empty-2-5	empty	aph(KEIO:empty)
2	6	-	-	empty	empty-2-6	empty	aph(KEIO:empty)
2	7	-	-	empty	empty-2-7	empty	aph(KEIO:empty)
2	8	-	-	empty	empty-2-8	empty	aph(KEIO:empty)
2	9	-	-	ECK2737	ECK2737-2-9	nlpD	aph(KEIO:nlpD)
2	10	-	-	ECK2737	ECK2737-2-10	nlpD	aph(KEIO:nlpD)
2	11	-	-	ECK2623	ECK2623-2-11	yfjK	aph(KEIO:yfjK)
2	12	-	-	ECK2623	ECK2623-2-12	yfjK	aph(KEIO:yfjK)
2	13	-	-	ECK3119	ECK3119-2-13	agaR	aph(KEIO:agaR)
2	14	-	-	ECK3119	ECK3119-2-14	agaR	aph(KEIO:agaR)
2	15	-	-	ECK2639	ECK2639-2-15	yfjX	aph(KEIO:yfjX)
2	16	-	-	ECK2639	ECK2639-2-16	yfjX	aph(KEIO:yfjX)
2	17	-	-	ECK3924	ECK3924-2-17	hslV	aph(KEIO:hslV)
2	18	-	-	ECK3924	ECK3924-2-18	hslV	aph(KEIO:hslV)
2	19	-	-	ECK2727	ECK2727-2-19	ygbA	aph(KEIO:ygbA)
2	20	-	-	ECK2727	ECK2727-2-20	ygbA	aph(KEIO:ygbA)
2	21	-	-	ECK3512	ECK3512-2-21	yhjJ	aph(KEIO:yhjJ)
2	22	-	-	ECK3512	ECK3512-2-22	yhjJ	aph(KEIO:yhjJ)
2	23	-	-	ECK1562	ECK1562-2-23	ydfX	aph(KEIO:ydfX)
2	24	-	-	ECK1562	ECK1562-2-24	ydfX	aph(KEIO:ydfX)
2	25	-	-	ECK4170	ECK4170-2-25	hflK	aph(KEIO:hflK)
2	26	-	-	ECK4170	ECK4170-2-26	hflK	aph(KEIO:hflK)
2	27	-	-	ECK1602	ECK1602-2-27	ydgC	aph(KEIO:ydgC)
2	28	-	-	ECK1602	ECK1602-2-28	ydgC	aph(KEIO:ydgC)
2	29	-	-	ECK2175	ECK2175-2-29	yejG	aph(KEIO:yejG)
2	30	-	-	ECK2175	ECK2175-2-30	yejG	aph(KEIO:yejG)
2	31	-	-	ECK1665	ECK1665-2-31	ydhT	aph(KEIO:ydhT)
2	32	-	-	ECK1665	ECK1665-2-32	ydhT	aph(KEIO:ydhT)
2	33	-	-	ECK2236	ECK2236-2-33	yfaD	aph(KEIO:yfaD)
2	34	-	-	ECK2236	ECK2236-2-34	yfaD	aph(KEIO:yfaD)
2	35	-	-	empty	empty-2-35	empty	aph(KEIO:empty)
2	36	-	-	empty	empty-2-36	empty	aph(KEIO:empty)
2	37	-	-	ECK2269	ECK2269-2-37	yfbP	aph(KEIO:yfbP)
2	38	-	-	ECK2269	ECK2269-2-38	yfbP	aph(KEIO:yfbP)
2	39	-	-	ECK1809	ECK1809-2-39	yoaH	aph(KEIO:yoaH)
2	40	-	-	ECK1809	ECK1809-2-40	yoaH	aph(KEIO:yoaH)
2	41	-	-	ECK2350	ECK2350-2-41	yfdM	aph(KEIO:yfdM)
2	42	-	-	ECK2350	ECK2350-2-42	yfdM	aph(KEIO:yfdM)
2	43	-	-	ECK1847	ECK1847-2-43	yebE	aph(KEIO:yebE)
2	44	-	-	ECK1847	ECK1847-2-44	yebE	aph(KEIO:yebE)
2	45	-	-	ECK2393	ECK2393-2-45	yfeD	aph(KEIO:yfeD)
2	46	-	-	ECK2393	ECK2393-2-46	yfeD	aph(KEIO:yfeD)
2	47	-	-	ECK1905	ECK1905-2-47	yecH	aph(KEIO:yecH)
2	48	-	-	ECK1905	ECK1905-2-48	yecH	aph(KEIO:yecH)
3	1	-	-	ECK2780	ECK2780-3-1	barA	aph(KEIO:barA)
3	2	-	-	ECK2780	ECK2780-3-2	barA	aph(KEIO:barA)
3	3	-	-	empty	empty-3-3	empty	aph(KEIO:empty)
3	4	-	-	empty	empty-3-4	empty	aph(KEIO:empty)
3	5	-	-	ECK3660	ECK3660-3-5	uhpA	aph(KEIO:uhpA)
3	6	-	-	ECK3660	ECK3660-3-6	uhpA	aph(KEIO:uhpA)
3	7	-	-	ECK2148	ECK2148-3-7	cirA	aph(KEIO:cirA)
3	8	-	-	ECK2148	ECK2148-3-8	cirA	aph(KEIO:cirA)
3	9	-	-	ECK4106	ECK4106-3-9	basR	aph(KEIO:basR)
3	10	-	-	ECK4106	ECK4106-3-10	basR	aph(KEIO:basR)
3	11	-	-	ECK0761	ECK0761-3-11	ybhC	aph(KEIO:ybhC)
3	12	-	-	ECK0761	ECK0761-3-12	ybhC	aph(KEIO:ybhC)
3	13	-	-	ECK1185	ECK1185-3-13	treA	aph(KEIO:treA)
