row	column	plate	well	UID	clone	name	marker
1	1	-	-	ECK4193	ECK4193-1-1	ulaE	aph(KEIO:ulaE)
1	2	-	-	ECK4193	ECK4193-1-2	ulaE	aph(KEIO:ulaE)
1	3	-	-	empty	empty-1-3	empty	aph(KEIO:empty)
1	4	-	-	empty	empty-1-4	empty	aph(KEIO:empty)
1	5	-	-	ECK4267	ECK4267-1-5	yjgZ	aph(KEIO:yjgZ)
1	6	-	-	ECK4267	ECK4267-1-6	yjgZ	aph(KEIO:yjgZ)
1	7	-	-	empty	empty-1-7	empty	aph(KEIO:empty)
1	8	-	-	empty	empty-1-8	empty	aph(KEIO:empty)
1	9	-	-	ECK1250	ECK1250-1-9	ompW	aph(KEIO:ompW)
1	10	-	-	ECK1250	ECK1250-1-10	ompW	aph(KEIO:ompW)
1	11	-	-	empty	empty-1-11	empty	aph(KEIO:empty)
1	12	-	-	empty	empty-1-12	empty	aph(KEIO:empty)
1	13	-	-	ECK0671	ECK0671-1-13	fur	aph(KEIO:fur)
1	14	-	-	ECK0671	ECK0671-1-14	fur	aph(KEIO:fur)
1	15	-	-	ECK4265	ECK4265-1-15	yjgW	aph(KEIO:yjgW)
1	16	-	-	ECK4265	ECK4265-1-16	yjgW	aph(KEIO:yjgW)
1	17	-	-	empty	empty-1-17	empty	aph(KEIO:empty)
1	18	-	-	empty	empty-1-18	empty	aph(KEIO:empty)
1	19	-	-	empty	empty-1-19	empty	aph(KEIO:empty)
1	20	-	-	empty	empty-1-20	empty	aph(KEIO:empty)
1	21	-	-	empty	empty-1-21	empty	aph(KEIO:empty)
1	22	-	-	empty	empty-1-22	empty	aph(KEIO:empty)
1	23	-	-	empty	empty-1-23	empty	aph(KEIO:empty)
1	24	-	-	empty	empty-1-24	empty	aph(KEIO:empty)
1	25	-	-	empty	empty-1-25	empty	aph(KEIO:empty)
1	26	-	-	empty	empty-1-26	empty	aph(KEIO:empty)
1	27	-	-	ECK0608	ECK0608-1-27	citF	aph(KEIO:citF)
1	28	-	-	ECK0608	ECK0608-1-28	citF	aph(KEIO:citF)
1	29	-	-	ECK3110	ECK3110-1-29	yhaC	aph(KEIO:yhaC)
1	30	-	-	ECK3110	ECK3110-1-30	yhaC	aph(KEIO:yhaC)
1	31	-	-	ECK0954	ECK0954-1-31	mgsA	aph(KEIO:mgsA)
1	32	-	-	ECK0954	ECK0954-1-32	mgsA	aph(KEIO:mgsA)
1	33	-	-	ECK3255	ECK3255-1-33	yhdW	aph(KEIO:yhdW)
1	34	-	-	ECK3255	ECK3255-1-34	yhdW	aph(KEIO:yhdW)
1	35	-	-	ECK1246	ECK1246-1-35	tonB	aph(KEIO:tonB)
1	36	-	-	ECK1246	ECK1246-1-36	tonB	aph(KEIO:tonB)
1	37	-	-	ECK3637	ECK3637-1-37	ligB	aph(KEIO:ligB)
1	38	-	-	ECK3637	ECK3637-1-38	ligB	aph(KEIO:ligB)
1	39	-	-	ECK1431	ECK1431-1-39	hicA	aph(KEIO:hicA)
1	40	-	-	ECK1431	ECK1431-1-40	hicA	aph(KEIO:hicA)
1	41	-	-	ECK3769	ECK3769-1-41	yifN	aph(KEIO:yifN)
1	42	-	-	ECK3769	ECK3769-1-42	yifN	aph(KEIO:yifN)
1	43	-	-	ECK1583	ECK1583-1-43	ynfF	aph(KEIO:ynfF)
1	44	-	-	ECK1583	ECK1583-1-44	ynfF	aph(KEIO:ynfF)
1	45	-	-	ECK3955	ECK3955-1-45	fabR	aph(KEIO:fabR)
1	46	-	-	ECK3955	ECK3955-1-46	fabR	aph(KEIO:fabR)
1	47	-	-	ECK1773	ECK1773-1-47	ydjK	aph(KEIO:ydjK)
1	48	-	-	ECK1773	ECK1773-1-48	ydjK	aph(KEIO:ydjK)
2	1	-	-	ECK4152	ECK4152-2-1	yjeM	aph(KEIO:yjeM)
2	2	-	-	ECK4152	ECK4152-2-2	yjeM	aph(KEIO:yjeM)
2	3	-	-	ECK0307	ECK0307-2-3	ykgG	aph(KEIO:ykgG)
2	4	-	-	ECK0307	ECK0307-2-4	ykgG	aph(KEIO:ykgG)
2	5	-	-	empty	empty-2-5	empty	aph(KEIO:empty)
2	6	-	-	empty	empty-2-6	empty	aph(KEIO:empty)
2	7	-	-	ECK0421	ECK0421-2-7	yajR	aph(KEIO:yajR)
2	8	-	-	ECK0421	ECK0421-2-8	yajR	aph(KEIO:yajR)
2	9	-	-	empty	empty-2-9	empty	aph(KEIO:empty)
2	10	-	-	empty	empty-2-10	empty	aph(KEIO:empty)
2	11	-	-	ECK0562	ECK0562-2-11	cusS	aph(KEIO:cusS)
2	12	-	-	ECK0562	ECK0562-2-12	cusS	aph(KEIO:cusS)
2	13	-	-	ECK4302	ECK4302-2-13	nanC	aph(KEIO:nanC)
2	14	-	-	ECK4302	ECK4302-2-14	nanC	aph(KEIO:nanC)
